Code,Food name in English,"Calcium
(mg)","Copper
(mg)","Fatty acids, total polyunsaturated
(g)","Fibre, total dietary or [fibre, crude]
(g)","Folate, total or [folate, sum of vitamers] (vitamin B9)
(mcg)","Iron
(mg)","Magnesium
(mg)","Phosphorus
(mg)","Potassium
(mg)","Protein, total
(g)","Sodium
(mg)","Vitamin A (expressed in retinol activity equivalents)
(mcg)","Vitamin B12
(mcg)","Vitamin C
(mg)","Vitamin D 
(mcg)","Zinc
(mg)","net_carbs
(g)"
04_055,"Pumpkin, leaves, dried",0.2020100772818625,0.028758194183674687,0.006679425434343808,0.09724887193716641,0.060646108296181854,0.09979215635068077,0.4001777420001829,0.15613763705285677,0.28513232242864706,0.09273192399537218,0.012378328585196925,0.0030302732626584254,0.0,0.01258019223016067,0.0,0.1260665673906191,0.0009301690510186547
04_053,"Pumpkin, leaves, fresh, raw",0.06331412405806329,0.0036652600430173623,0.000417464089646488,0.01263685906528151,0.009923908630284303,0.012690332021473856,0.05082758440431661,0.019841537455397244,0.03618430487673186,0.009926916145718693,0.0015650760280134044,0.0019174610475578737,0.0,0.015375790503529708,0.0,0.016025411108977004,0.00015502817516977542
04_116,"Pumpkin, leaves, fresh, boiled* (as part of a recipe)",0.06728158875099675,0.003947203123249468,0.00047710181673884334,0.01318628772029375,0.007442931472713227,0.01326716529517721,0.05404905102149161,0.02106255514496015,0.038500100388842697,0.010411155957704971,0.0017073556669237138,0.001848980295859378,0.0,0.009784593956791633,0.0,0.01709377184957547,0.00015502817516977542
04_054,"Pumpkin, leaves, fresh, boiled* (without salt), drained",0.059511970394002044,0.0033833169627852573,0.000417464089646488,0.012087430410269273,0.004961954315142151,0.009229332379253713,0.030067021760299965,0.01770475649866216,0.017947415218859,0.009684796239725554,0.001138237111282476,0.0017120187924623872,0.0,0.0055911965467380755,0.0,0.011930028270016215,0.0003100563503395504
04_051,"Pumpkin, squash, light orange flesh, raw",0.0031409095485723302,0.001973601561624734,0.0002981886354617771,0.01318628772029375,0.0022053130289520673,0.00576833273703357,0.005369111028624994,0.005036697969446993,0.02026321073096984,0.0024211990599313886,0.0,0.001215533342648295,0.0,0.011182393093476151,0.0,0.005163743579559257,0.005581014306111915
04_115,"Pumpkin, squash, light orange flesh, boiled* (as part of a recipe)",0.0028102874908278743,0.0016916584813926286,0.00023855090836942167,0.011538001755257033,0.001378320643095042,0.005191499463330213,0.005011170293383328,0.00442618912466554,0.017947415218859,0.0021790791539382497,0.0,0.0009587305237789369,0.0,0.008386794820107114,0.0,0.004629563209260024,0.0049609016054328135
04_052,"Pumpkin, squash, light orange flesh, boiled* (without salt), drained",0.0033062205774445582,0.001973601561624734,0.0002981886354617771,0.014285145030318231,0.0011026565144760336,0.004614666189626857,0.003579407352416663,0.00488407075825163,0.011000028682526485,0.002663318965924528,0.0,0.001181292966799047,0.0,0.008386794820107114,0.0,0.004273442962393867,0.006201127006791017
04_071,"Sicklepod, leaves, dried",0.06414067920242443,0.010149950888355772,0.002385509083694217,0.11483058889755807,0.08269923858570252,0.0928701570662405,0.04008936234706662,0.05479316881913547,0.20190842121216376,0.05181365988253171,0.023618420059111373,0.0042629267932313445,0.0,0.020966987050267782,0.0,0.03810486641467866,0.026199761603692043
04_084,"Sicklepod, leaves, fresh, raw",0.02215167786887854,0.004511089283713677,0.000417464089646488,0.03955886316088125,0.035836336720471096,0.034609996422201424,0.013959688674424984,0.018925774188225063,0.06969097119258556,0.014285074453595194,0.008109939417887641,0.0049819746860655465,0.0,0.06988995683422594,0.0,0.013176449134047759,0.010386887736374953
04_094,"Sicklepod, leaves, fresh, boiled* (as part of a recipe)",0.023474166099856364,0.0047930323639457815,0.00047710181673884334,0.04230600643594245,0.027290748733281835,0.03691732951701485,0.014675570144908317,0.02014679187778797,0.07381598194853299,0.015253554077567748,0.00867905797352888,0.00477653243097006,0.0,0.044729572373904604,0.0,0.014066749751213149,0.011007000437054056
04_093,"Sicklepod, leaves, fresh, boiled* (without salt), drained",0.021490433753389628,0.004511089283713677,0.000417464089646488,0.04010829181589349,0.018745160746092573,0.02653433059035442,0.00859057764579999,0.01739950207627143,0.035532987388950686,0.01476931426558147,0.006260304112053618,0.0045710901758745735,0.0,0.02795598273369038,0.0,0.00997136691225236,0.010696944086714505
04_072,"Spider plant, leaves, fresh, raw",0.04430335573775708,0.011841609369748402,0.002981886354617771,0.023625432165526303,0.09648244501665294,0.03980149588553163,0.0329305476422333,0.007020851714986717,0.03459219546215565,0.011621755487670665,0.00270331313929588,0.004536849800025326,0.0,0.08945914474780921,0.0,0.013354509257480838,-0.00372067620407461
