Code,Food name in English,topsis_score,distance_to_ideal,distance_to_worst,rank
01_175,Pigri (Burkina Faso)*: steamed pearl millet balls,0.14934379178996413,0.17078071343289195,0.0299827816014315,63.0
06_036,"Melon seed, small, elongated, kernel only, dried, raw",0.14877759220405984,0.17107683687442188,0.02990099842174831,64.0
01_088,"Wheat flour, white, fortified with iron, zinc, folic acid and vitamins B1, B2, B3, B12 (Liberia)",0.1485995435682258,0.17336745221929928,0.030258762577300185,65.0
06_035,"Melon seed (citrullus spp.), kernel only, dried, raw",0.14615815187789277,0.17178990925486315,0.029406494543672168,66.0
01_090,"Wheat flour, white, fortified with iron, zinc, folic acid and vitamins B1, B2, B3, B12 (Guinea)",0.14305737225647377,0.17342911089365973,0.028952128268555467,67.0
07_113,"Goat meat, lean, boiled* (without salt), drained",0.14284732523195517,0.1733442081209835,0.028888385002397224,68.0
01_086,"Wheat flour, white, fortified with iron, zinc, folic acid and vitamins B1, B2, B3, B12 (Côte d’Ivoire, Mali, Niger, Senegal)",0.14196613858894533,0.1734654663045068,0.028700758253623344,69.0
04_085,"Mint, leaves, raw",0.1412040663424131,0.17251741840089457,0.02836548246025402,70.0
06_024,"Groundnut, Manipintar variety, shelled, dried, raw (Ghana), n=1",0.14108852509687111,0.1731124088526385,0.028436195294445157,71.0
01_085,"Wheat flour, white, fortified with iron and folic acid (Cabo Verde)",0.13966095121166322,0.17369353399836332,0.028196098051914486,72.0
01_087,"Wheat flour, white, fortified with iron, zinc, folic acid and vitamins A, B1, B2, B3, B12 (Ghana, Sierra Leone)",0.1373005372346532,0.17407447338285945,0.027704339397284238,73.0
09_094,"Venus clams, flesh, steamed* (without salt)",0.13681078811171643,0.17277736434586555,0.027384271094298977,74.0
07_114,"Goat meat, lean, grilled* (without salt or fat)",0.1347777373140753,0.1750495486031498,0.02726788606356856,75.0
04_033,"Moringa (drumstick), leaves, fresh, boiled* (without salt), drained",0.13447106222534108,0.1739103926747848,0.027019218207922045,76.0
04_100,"Hibiscus cannabinus, leaves, fresh, boiled* (as part of a recipe)",0.13438529851899,0.17404685336191764,0.027020495730160958,77.0
06_029,"Oil palm, nut (kernel), shelled, raw",0.1333133090949828,0.1743022029287955,0.02681107682721935,78.0
06_020,"Groundnut, Sinkarzie variety, shelled, dried, raw (Ghana), n=1",0.13025415992805028,0.17542840127530976,0.026272363698510003,79.0
03_051,"Sweet dattock, whole, raw",0.13014303857930318,0.17513515315452133,0.02620272298143699,80.0
06_001,"Cashew nut, raw",0.13002122252513548,0.17552181832540603,0.026232319671916804,81.0
09_077,"Mola carplet, small whole fish, viscera, fins and scales removed, grilled* (without salt or fat)",0.1299648298197171,0.1762642769201003,0.02633015024952319,82.0
04_107,"Jute mallow (bush-okra), leaves, fresh, boiled* (as part of a recipe)",0.12988719331767376,0.17502654101137188,0.026127309003472435,83.0
04_086,"Amaranth, leaves, fresh, boiled* (as part of a recipe)",0.12971722938367422,0.175104373832994,0.026099625309706238,84.0
04_073,"Hibiscus cannabinus, leaves, fresh, raw",0.12942547793664297,0.1751132663553245,0.026033518804763654,85.0
03_027,"Cowpea, brown, dry, raw",0.12923732067317759,0.17655745873369588,0.02620439926209078,86.0
03_006,"Cowpea, white, dry, raw",0.12765148443669955,0.1768674095759679,0.025881155269997982,87.0
04_096,"Spider plant, leaves, fresh, boiled* (as part of a recipe)",0.12762491784637484,0.17560194911603924,0.025689849226632536,88.0
04_077,"Okra, fruit, dried",0.12615795755855297,0.1776890456926099,0.02565324852358558,89.0
09_078,"Mola carplet, small whole fish, viscera, fins and scales removed, boiled* (as part of a recipe)",0.12584860768318654,0.17672574821182138,0.025442605880065396,90.0
04_038,"Jute mallow (bush-okra), leaves, fresh, raw",0.12424402909324211,0.1763373452815535,0.025017085792406274,91.0
04_023,"Amaranth, leaves, fresh, raw",0.1238639950063976,0.17643833851182283,0.02494402393670044,92.0
03_030,"Lentil, dry, raw",0.1238194239606166,0.17719379081091371,0.025040538112339014,93.0
06_022,"Groundnut, JL 24 variety, shelled, dried, raw (Ghana), n=1",0.12376356477611754,0.17728274263971724,0.02504020983420115,94.0
08_008,"Egg, guinea fowl, raw",0.1235690813519607,0.17617300559569474,0.024838850384300656,95.0
04_072,"Spider plant, leaves, fresh, raw",0.12328779054880601,0.1768549754467974,0.024870258375947488,96.0
07_039,"Chicken giblets, raw",0.12241414634269766,0.1774035205130167,0.024745955545302775,97.0
03_004,"Cowpea, dry, raw",0.12180129329125171,0.17829239844228975,0.024728167496006304,98.0
06_013,"Melon seed, kernel only, dried, raw",0.12159830004041379,0.17833531619570941,0.024687191848064092,99.0
07_020,"Beef kidney, stewed* (as part of a recipe)",0.12129796610376686,0.1776322623863554,0.024520749139884203,100.0
09_100,"Sea snail/whelk, grilled* (without salt or fat)",0.12080407746807256,0.17863697927833927,0.02454524063448361,101.0
01_039,"Sorghum, whole grains, raw",0.11938064501610665,0.17751372021296338,0.024064543094921932,102.0
08_013,"Egg, guinea fowl, boiled* (without salt)",0.11853594548041692,0.17733481498842937,0.02384731385638288,103.0
07_090,"Beef kidney, boiled* (without salt), drained",0.117963721475061,0.17854011516724436,0.023877993377931825,104.0
06_037,"Melon seed, small, flat, kernel only, dried, raw",0.11729174515625812,0.17898636016540617,0.02378319498856773,105.0
06_025,"Groundnut, combined varieties, shelled, dried, raw (Ghana)",0.1167905301475269,0.17875668501670725,0.023637753809413888,106.0
03_005,"Cowpea, black, dry, raw",0.1167277539139522,0.17947117581844924,0.023717791811543827,107.0
03_142,"Porridge of cowpeas, yam and potash (Burkina Faso)*",0.11647304961844578,0.17742436088366678,0.0233893899668822,108.0
07_091,"Beef kidney, grilled* (without salt or fat)",0.11626512670723291,0.17878865425064833,0.023521630942112796,109.0
09_101,"Sea snail/whelk, boiled* (as part of a recipe)",0.1160112040406221,0.17907085058350528,0.023500552359631294,110.0
07_093,"Camel meat, boiled* (without salt), drained",0.1151234513534281,0.18111902557802287,0.023563792443368186,111.0
02_026,"Tiger nut, tuber, dried",0.11435424047343219,0.1786336621983965,0.02306510988615251,112.0
04_094,"Sicklepod, leaves, fresh, boiled* (as part of a recipe)",0.11333583140215492,0.17863600457595935,0.022833741132216888,113.0
01_180,"Gnon (Burkina Faso)*: steamed balls of cowpea leaves with groundnut flour, potash and pearl millet",0.1132679809954731,0.17768456625864668,0.022696791863642544,114.0
09_054,"Venus clams, flesh, raw",0.1128999010460611,0.17807993704373296,0.022663966889682613,115.0
01_089,"Wheat flour, white, fortified with iron and vitamins A, B1, B2, B3 (Nigeria)",0.11230617965565809,0.17903554986355036,0.022650601104698315,116.0
01_132,"Pearl millet, combined varieties, whole grains (Burkina Faso), boiled* (as part of a recipe)",0.11182897097668605,0.17922762043715174,0.02256641987762993,117.0
01_129,"Pearl millet, whole grains, boiled* (as part of a recipe)",0.11178725119397025,0.179241984915214,0.02255874937525647,118.0
01_033,"Pearl millet, whole grains, boiled* (without salt), drained",0.11175245701891816,0.17925754911276762,0.022552802662768337,119.0
03_154,Boussan touba (Burkina Faso)*: fried cowpea pancakes,0.11123509506009956,0.17819797256813502,0.02230271279610652,120.0
09_076,"Mola carplet, small whole fish, viscera, fins and scales removed, steamed* (without salt)",0.11010919186524894,0.1806692318135307,0.022354813565948033,121.0
03_153,Gonré-2 (Burkina Faso)*: steamed paste of non-dehulled cowpea and potash,0.10998876294961925,0.17901904584042028,0.022123409881502895,122.0
09_051,"Mola carplet, small whole fish, viscera, fins and scales removed, raw",0.10989304033028716,0.18024935186366553,0.022253673088020814,123.0
