Code,Food name in English,"Calcium
(mg)","Copper
(mg)","Fatty acids, total polyunsaturated
(g)","Fibre, total dietary or [fibre, crude]
(g)","Folate, total or [folate, sum of vitamers] (vitamin B9)
(mcg)","Iron
(mg)","Magnesium
(mg)","Phosphorus
(mg)","Potassium
(mg)","Protein, total
(g)","Sodium
(mg)","Vitamin A (expressed in retinol activity equivalents)
(mcg)","Vitamin B12
(mcg)","Vitamin C
(mg)","Vitamin D 
(mcg)","Zinc
(mg)","net_carbs
(g)"
09_038,"Shiny-nose, fillet, raw",0.0002830015967524553,2.3205191788650264e-06,1.4234519223689734e-05,0.0,0.00011911412965018864,0.0005839546721441393,8.83804284547322e-05,7.03466981641171e-05,0.00011167995332324486,0.006727545700681784,0.00018268003020582905,3.2408586194761216e-06,0.00017165972307503646,0.0,0.0001495783355348059,0.0010991365644017134,0.0
09_088,"Shiny-nose, fillet, boiled* (as part of a recipe)",0.00034014614994285495,2.3205191788650264e-06,1.7179592166522095e-05,0.0,0.00011911412965018864,0.0005839546721441393,0.00010900252842750303,8.416479958921154e-05,0.00013461157040561782,0.00813044622594244,0.00022132388274936977,3.2408586194761216e-06,0.00019073302563892938,0.0,0.00016204319682937307,0.0013189638772820558,0.0
09_040,"Shiny-nose, fillet, grilled* (without salt or fat)",0.0004081753799314259,3.4807787682975396e-06,2.0615510599826514e-05,0.0,0.00013613043388592988,0.0005839546721441393,0.00011784057127297627,9.107385030175876e-05,0.00013758970249423767,0.00978841957397776,0.00022483696025332807,3.2408586194761216e-06,0.00022252186324541763,0.0,0.00018697291941850735,0.0015937480183824842,0.0
09_039,"Shiny-nose, fillet, steamed* (without salt)",0.00034014614994285495,2.3205191788650264e-06,1.7179592166522095e-05,0.0,0.00010209782541444741,0.0005839546721441393,9.132644273655659e-05,7.160288920276205e-05,0.00010095867780421335,0.00813044622594244,0.00018970618521374556,3.2408586194761216e-06,0.0001653019555537388,0.0,0.00016204319682937307,0.0013189638772820558,0.0
09_057,"Shrimp (crayfish), whole, dried",0.006862788721247041,0.00023205191788650266,5.1538776499566286e-05,0.0,0.0023822825930037727,0.07387026602623362,0.0019738295688223524,0.0008366232317375355,0.00032967922221021885,0.020118868896351685,0.00455997460013781,1.4583863787642546e-05,0.00037510828375656114,0.0014898352938324698,0.0,0.007507102734863702,0.00015120031899274296
09_058,"Shrimp, palaemonid, flesh, raw",0.00011973144477988493,0.00011834647812211634,2.5523965504547114e-05,0.0,0.00022121195506463604,0.00788338807394588,0.00015613875693669356,0.00015199911567603873,8.04095663927363e-05,0.007078270831996947,0.0005550662456254037,9.722575858428365e-06,0.00044504372649083526,4.026581875222891e-05,0.0,0.0025060313668359064,5.741784265547201e-06
09_104,"Shrimp, palaemonid, flesh, boiled* (as part of a recipe)",0.0001442219675757705,0.0001415516699107666,3.092326589973977e-05,0.0,0.00022121195506463604,0.009635252090378297,0.0001855988997549376,0.00018340389164216245,9.678929288014555e-05,0.008513055460104437,0.0006709978032560259,6.481717238952243e-06,0.0004831903316186211,4.026581875222891e-05,0.0,0.003022625552104712,5.741784265547201e-06
09_103,"Shrimp, palaemonid, flesh, grilled* (without salt or fat)",0.0001387796291766848,0.0001299490740164415,2.994157491879565e-05,0.0,0.00020419565082889482,0.00788338807394588,0.00016203078550034236,0.00015890816638858596,7.951612676615034e-05,0.00822609853448294,0.0005480400906174871,4.8612879292141825e-06,0.0004641170290547282,0.0,0.0,0.00291271189566454,5.741784265547201e-06
09_102,"Shrimp, palaemonid, flesh, steamed* (without salt)",0.0001442219675757705,0.00012762855483757648,3.092326589973977e-05,0.0,0.00018717934659315358,0.00759141073787381,0.00015908477121851796,0.00015576768879197359,7.266642296232465e-05,0.008513055460104437,0.0005691185556412367,4.8612879292141825e-06,0.00043232819144823996,0.0,0.0,0.003022625552104712,5.741784265547201e-06
09_059,"Shrimp, penaeid, flesh, raw",0.0001795971671698274,4.9891162345598066e-05,1.2761982752273557e-05,0.0,0.00023822825930037728,0.0046716373771531145,0.00010900252842750303,0.00016770150365910062,5.837138893694932e-05,0.00688696621491595,0.00044264776549873954,9.074404134533141e-05,0.00013351311794725058,0.0,0.00023683236459677597,0.0014288775337222273,1.9139280885157338e-05
09_107,"Shrimp, penaeid, flesh, boiled* (as part of a recipe)",0.0002149723667638843,6.033349865049069e-05,1.5707055695105914e-05,0.0,0.00023822825930037728,0.005547569385369322,0.00012962462840027388,0.00020224675722183667,7.028391729142877e-05,0.008289866740176606,0.0005339877806016542,2.7547298265547032e-05,0.00014622865298984585,0.0,0.00024929722589134317,0.001714653040466673,2.4881065150704538e-05
09_106,"Shrimp, penaeid, flesh, grilled* (without salt or fat)",0.00020680885916525582,5.5692460292760634e-05,1.5216210204633855e-05,0.0,0.00022121195506463604,0.0046716373771531145,0.00011489455699115185,0.00017523864989097028,5.777576251922535e-05,0.008002909814555108,0.00043913468799478136,2.5926868955808972e-05,0.00013987088546854823,0.0,0.00023683236459677597,0.001659696212246587,2.2967137062188803e-05
09_105,"Shrimp, penaeid, flesh, steamed* (without salt)",0.0002149723667638843,5.4532200703328115e-05,1.5707055695105914e-05,0.0,0.00018717934659315358,0.0043796600410810444,0.00011194854270932745,0.00017147007677503545,5.271293796857157e-05,0.008289866740176606,0.00045318699801061437,2.5926868955808972e-05,0.00013351311794725058,0.0,0.00023683236459677597,0.001714653040466673,2.4881065150704538e-05
09_041,"Tilapia, fillet, raw",0.0002966074427501695,5.801297947162567e-06,1.4725364714161795e-05,0.0,8.508152117870617e-05,0.004963614713225184,9.132644273655659e-05,0.00016016435742723093,7.921831355728836e-05,0.005930443129510956,0.00022483696025332807,1.6204293097380607e-05,9.536651281946469e-05,0.0,0.00024929722589134317,0.0010002142736055594,0.0
09_089,"Tilapia, fillet, boiled* (as part of a recipe)",0.00034014614994285495,5.801297947162567e-06,1.6688746676050037e-05,0.0,8.508152117870617e-05,0.005839546721441392,0.00010311049986385423,0.0001840319871614849,9.083302870290582e-05,0.006823198009222283,0.00025996773529291054,1.6204293097380607e-05,0.00010172428034076235,0.0,0.00024929722589134317,0.0011540933926217991,0.0
09_043,"Tilapia, fillet, grilled* (without salt or fat)",0.00037552134953691186,6.961557536595079e-06,1.8652128637938277e-05,0.0,8.508152117870617e-05,0.005547569385369322,0.00010311049986385423,0.00018214770060351752,8.517457773452809e-05,0.007524648271852612,0.0002424023477731193,1.7824722407118667e-05,0.00010808204786205999,0.0,0.0002866918097750446,0.0012640070490619703,0.0
